age_of_property,coop_condo,dining_room_type,fuel_type,garage_exists,kitchen_type,maintenance_cost,num_bedrooms,num_full_bathrooms,num_half_bathrooms,num_total_rooms,parking_charges,pct_tax_deductibl,sale_price,sq_footage,total_taxes,zip_code,common_charges_numeric_dollars
9,condo,combo,gas,0,eat in,NA,2,2,0,6,0,0,648000,977,36,11374,240
64,co-op,formal,oil,0,efficiency,731,2,1,0,4,20,0,130000,NA,NA,11414,0
42,condo,NA,oil,0,efficiency,NA,2,1,0,5,0,0,550000,NA,4317,11360,645
98,co-op,NA,oil,0,eat in,768,1,1,0,3,0,40,325000,NA,NA,11106,0
39,condo,combo,gas,0,eat in,155,3,2,0,7,0,0,680000,NA,5415,11360,564
74,co-op,combo,gas,0,eat in,NA,1,1,0,4,0,0,103500,NA,NA,11422,0
51,condo,NA,electric,0,combo,498,2,1,0,4,0,0,452000,778,2287,11367,105
94,co-op,other,oil,0,eat in,559,1,1,0,3,0,0,255000,NA,NA,11374,0
74,co-op,formal,NA,0,efficiency,560,1,1,0,3,0,0,205000,NA,NA,11367,0
64,co-op,NA,gas,0,Combo,NA,1,1,0,3,0,0,185000,NA,NA,11415,645
72,co-op,other,oil,0,efficiency,906,2,1,0,4,130,0,415000,NA,NA,11375,0
54,co-op,NA,gas,0,efficiency,1250,1,1,0,3,135,0,344000,NA,NA,11360,0
74,co-op,combo,gas,0,efficiency,815,2,1,0,5,0,0,239000,NA,NA,11364,0
51,condo,combo,electric,1,efficiency,NA,2,1,0,4,0,0,480000,870,3490,11367,670
73,co-op,NA,other,1,Combo,647,1,1,0,3,133,50,280000,NA,NA,11372,0
86,co-op,other,gas,1,Combo,435,0,1,0,2,0,0,135500,NA,NA,11375,0
64,co-op,combo,gas,0,efficiency,550,1,1,0,3,0,0,66000,NA,NA,11414,0
54,co-op,NA,gas,0,NA,773,1,1,0,3,120,0,185000,NA,NA,11432,0
74,co-op,other,gas,0,Combo,644,2,1,0,4,0,0,155000,571,NA,11427,0
73,co-op,formal,gas,0,combo,NA,2,1,0,5,0,0,207000,NA,NA,11427,700
72,co-op,formal,gas,0,efficiency,536,1,1,0,3,0,0,179000,600,NA,11354,0
63,co-op,other,none,0,eat in,NA,1,1,0,3,0,0,225000,NA,NA,11104,648
42,condo,combo,oil,1,eat in,NA,2,2,0,5,95,0,635000,1050,3800,11360,756
50,co-op,combo,gas,1,efficiency,656,1,1,0,3,87,50,289000,630,NA,11005,0
73,co-op,combo,gas,0,efficiency,NA,2,1,0,4,0,0,155000,NA,NA,11427,644
74,co-op,combo,oil,0,efficiency,805,1,1,0,3,0,0,167000,NA,NA,11357,0
103,co-op,combo,gas,0,Combo,789,2,1,0,5,0,0,290000,NA,NA,11105,0
